Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,_1,OBPM,DBPM,BPM,VORP,Player-additional
138,Paul George,SF,32,LAC,13,457,19.6,0.577,0.424,0.286,1.5,16.7,9.6,22.6,2.1,1.4,13.8,31.1,0.3,0.7,1,0.107,,1.9,0.7,2.5,0.5,georgpa01
139,Taj Gibson,PF,37,WAS,6,27,20.2,0.588,0.364,0.364,8.4,15.9,12.2,17.1,1.8,0,7.3,22.6,0.1,0,0.1,0.193,,3.1,1.4,4.6,0,gibsota01
140,Josh Giddey,SG,20,OKC,11,333,13.2,0.511,0.248,0.098,4.8,20.8,12.5,26.2,0.7,1.6,20,24.8,-0.3,0.3,0.1,0.009,,-1.3,-1.5,-2.9,-0.1,giddejo01
141,Shai Gilgeous-Alexander,SG,24,OKC,13,467,29,0.633,0.132,0.357,2.4,10.7,6.4,27.8,2.7,3.6,12,32.6,1.6,0.6,2.2,0.23,,6.4,1.8,8.2,1.2,gilgesh01
142,Anthony Gill,PF,30,WAS,13,173,11.3,0.631,0.243,0.162,6.5,8.7,7.6,7.3,0.9,0.5,4.8,10.7,0.3,0.1,0.5,0.13,,-1.8,-0.3,-2.1,0,gillan01
143,Rudy Gobert,C,30,MIN,12,388,19.5,0.654,0.02,0.677,14.4,28,21.5,4.3,0.9,4.4,13.5,16.1,0.9,0.5,1.4,0.178,,0.5,-0.6,-0.1,0.2,goberru01
144,Jordan Goodwin,PG,24,WAS,8,151,20.4,0.659,0.375,0.1,7.5,17,12.4,24,2,4.1,10.7,13.7,0.5,0.2,0.7,0.219,,3.1,3.7,6.9,0.3,goodwjo01
145,Aaron Gordon,PF,27,DEN,13,377,19.4,0.634,0.28,0.424,8.7,17.7,13.2,12,0.9,2.6,9.7,18.6,1,0.3,1.3,0.163,,2.3,-0.7,1.7,0.4,gordoaa01
146,Eric Gordon,SG,34,HOU,12,362,11.6,0.585,0.545,0.259,0.6,6.5,3.4,15.1,1.2,1.2,15,16.6,0.3,0,0.3,0.045,,-0.6,-1.8,-2.4,0,gordoer01
147,Devonte' Graham,PG,27,NOP,13,213,11.4,0.557,0.792,0.189,0.5,7.5,4,18.3,1.6,1.3,9.5,12.6,0.3,0.2,0.5,0.107,,-0.2,0,-0.3,0.1,grahade01
148,Jerami Grant,PF,28,POR,12,428,17.8,0.63,0.382,0.436,3,11.6,7.4,12.3,0.9,2.4,12.1,23,0.9,0.4,1.3,0.145,,2.4,0,2.4,0.5,grantje01
149,A.J. Green,SG,23,MIL,1,2,15.3,,,,0,0,0,61,0,0,,0,0,0,0,0.237,,4.9,2.7,7.6,0,greenaj01
150,Draymond Green,PF,32,GSW,13,390,12,0.57,0.171,0.232,2.7,20.9,12,28.6,1.4,1.6,25.5,13.1,0.3,0.4,0.8,0.092,,-2,2,0,0.2,greendr01
151,Jalen Green,SG,20,HOU,14,481,15,0.551,0.441,0.228,1.7,11.7,6.5,15.6,1.1,0.8,12,27,0.3,0.1,0.4,0.041,,1.4,-2.8,-1.3,0.1,greenja05
152,JaMychal Green,PF,32,GSW,11,187,11.9,0.528,0.408,0.143,12.3,18.6,15.5,5.6,2.5,3.3,17.4,14.2,0,0.3,0.3,0.077,,-3.4,0.2,-3.2,-0.1,greenja01
153,Javonte Green,SG,29,CHI,14,244,15.5,0.64,0.356,0.254,7.2,13.6,10.4,7.6,3.1,3.6,13.2,13.2,0.4,0.4,0.8,0.154,,-0.6,2.9,2.3,0.3,greenja02
154,Jeff Green,PF,36,DEN,13,258,11.5,0.595,0.247,0.37,4.8,10.8,7.8,8,1.1,1,13.3,16.2,0.3,0.2,0.4,0.076,,-2.5,-1.2,-3.7,-0.1,greenje02
155,Josh Green,SG,22,DAL,12,226,14.6,0.755,0.55,0.55,6,8.4,7.2,7.1,2.9,0.4,15.3,11.8,0.5,0.3,0.8,0.167,,0.4,1.6,2,0.2,greenjo02
156,AJ Griffin,SF,19,ATL,10,126,17,0.635,0.491,0.057,4.2,9.2,6.7,6.8,2.2,0,8.4,19.5,0.2,0.1,0.4,0.142,,2.6,0.8,3.4,0.2,griffaj01
157,Blake Griffin,PF,33,BOS,6,72,11.5,0.581,0.444,0.333,9.4,18.4,14,9.2,1.3,0,16.2,15.1,0.1,0.1,0.1,0.097,,-2.4,-1,-3.3,0,griffbl01
158,Quentin Grimes,SG,22,NYK,5,40,3.5,0.506,0.889,0.222,2.6,5.3,3.9,6.3,0,2.3,16.8,12.3,0,0,0,-0.007,,-5,-1.8,-6.8,0,grimequ01
159,Rui Hachimura,PF,24,WAS,14,329,11.5,0.521,0.216,0.209,3.8,18.6,11.4,5.7,0.3,2.1,12.2,23.3,-0.3,0.3,0,0.007,,-3.1,-1.8,-4.9,-0.2,hachiru01
160,Tyrese Haliburton,PG,22,IND,12,410,23.3,0.62,0.467,0.233,3.5,11.7,7.6,46.4,2.5,0.4,15.4,23.3,1.4,0.3,1.7,0.204,,6.4,0.2,6.6,0.9,halibty01
161,Jordan Hall,SF,21,SAS,4,43,1.8,0.375,0.5,0,2.5,8,5.2,18,1.1,0,25,15.4,-0.1,0,-0.1,-0.11,,-7.3,-2.7,-10,-0.1,halljo02
162,R.J. Hampton,PG,21,ORL,12,178,16.8,0.678,0.453,0.321,4.1,7.2,5.7,13.3,2.5,2.1,16.6,17.6,0.4,0.2,0.6,0.152,,1.2,1.5,2.8,0.2,hamptrj01
